epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1540.15,1.21202,0.71613,1.03145,0.85047,0.58258,0.71542,0.2878,2.07395,1.5791,1.78244,0.00072775,0.00072775,0.00072775
57,1567.84,1.2195,0.74638,1.03526,0.85948,0.60709,0.75546,0.28569,2.18118,1.49422,1.89316,0.0007228,0.0007228,0.0007228
58,1596.7,1.22198,0.70047,1.02547,0.78888,0.6364,0.74191,0.25172,2.26455,1.48761,2.06659,0.00071785,0.00071785,0.00071785
59,1625.61,1.20943,0.70892,1.01412,0.73293,0.66489,0.67891,0.21452,2.42623,1.55233,2.23391,0.0007129,0.0007129,0.0007129
60,1654.02,1.16518,0.68233,1.01314,0.7153,0.61923,0.6292,0.19294,2.49763,1.58793,2.35763,0.00070795,0.00070795,0.00070795
61,1682.19,1.17592,0.67313,1.0015,0.84739,0.61313,0.68932,0.21842,2.37414,1.62169,2.18928,0.000703,0.000703,0.000703
62,1710.54,1.18859,0.69375,0.9966,0.79516,0.59869,0.66131,0.20812,2.48136,1.68629,2.33745,0.00069805,0.00069805,0.00069805
63,1739.38,1.13816,0.68059,0.99504,0.79094,0.63085,0.69306,0.22776,2.33388,1.65378,2.09726,0.0006931,0.0006931,0.0006931
64,1767.54,1.17823,0.69262,1.01245,0.80932,0.6499,0.73518,0.22508,2.40659,1.55427,2.24486,0.00068815,0.00068815,0.00068815
65,1795.89,1.10428,0.67565,0.9731,0.77856,0.71146,0.77963,0.26565,2.26003,1.44389,2.03125,0.0006832,0.0006832,0.0006832
66,1824.48,1.12566,0.65181,0.96884,0.76701,0.71702,0.75056,0.25401,2.26788,1.43602,2.077,0.00067825,0.00067825,0.00067825
67,1853.1,1.11667,0.6576,0.98944,0.75153,0.70046,0.73755,0.2326,2.35992,1.45449,2.13513,0.0006733,0.0006733,0.0006733
68,1881.31,1.09149,0.65065,0.96271,0.79923,0.71438,0.75258,0.25756,2.22998,1.41388,2.00187,0.00066835,0.00066835,0.00066835
69,1909.92,1.04345,0.64048,0.97197,0.69308,0.68557,0.72202,0.234,2.3471,1.44547,2.18951,0.0006634,0.0006634,0.0006634
70,1938.52,1.05586,0.63182,0.95462,0.77146,0.67058,0.74946,0.26249,2.27358,1.45866,2.13825,0.00065845,0.00065845,0.00065845
71,1966.81,1.05272,0.63695,0.96585,0.76602,0.66661,0.73969,0.24886,2.25482,1.38996,2.05906,0.0006535,0.0006535,0.0006535
72,1995.53,1.04122,0.63699,0.96032,0.80173,0.63768,0.71055,0.23543,2.29757,1.4585,2.1534,0.00064855,0.00064855,0.00064855
73,2024.15,1.07369,0.62082,0.9713,0.76392,0.6383,0.67887,0.25325,2.22972,1.64336,1.99187,0.0006436,0.0006436,0.0006436
74,2052.81,1.06211,0.62522,0.96341,0.79179,0.6419,0.70715,0.22122,2.38504,1.6905,2.2015,0.00063865,0.00063865,0.00063865
75,2081.76,1.02803,0.61664,0.96945,0.7384,0.65931,0.68624,0.21218,2.39949,1.5318,2.22678,0.0006337,0.0006337,0.0006337
76,2110.48,1.04845,0.60764,0.94995,0.80057,0.64828,0.71045,0.26359,2.1607,1.44489,1.93646,0.00062875,0.00062875,0.00062875
77,2139.35,1.04854,0.60752,0.94933,0.79814,0.66261,0.71526,0.2472,2.23317,1.46157,2.03816,0.0006238,0.0006238,0.0006238
78,2167.81,0.98641,0.58447,0.93171,0.75169,0.69118,0.72898,0.22579,2.36579,1.44204,2.22502,0.00061885,0.00061885,0.00061885
79,2196.93,0.9921,0.5736,0.9467,0.81301,0.67913,0.75482,0.26353,2.24414,1.39718,2.07586,0.0006139,0.0006139,0.0006139
80,2225.93,0.9988,0.58592,0.95332,0.7826,0.67585,0.75303,0.24074,2.43866,1.32729,2.40336,0.00060895,0.00060895,0.00060895
81,2254.97,1.03967,0.59084,0.97058,0.83718,0.66525,0.75551,0.25707,2.34057,1.35554,2.20776,0.000604,0.000604,0.000604
82,2284.29,1.00768,0.57661,0.93675,0.84602,0.65377,0.73744,0.25107,2.30654,1.40229,2.14614,0.00059905,0.00059905,0.00059905
83,2312.99,1.02606,0.59124,0.97344,0.79496,0.68764,0.74216,0.24091,2.36641,1.4626,2.27135,0.0005941,0.0005941,0.0005941
84,2341.72,0.9829,0.56416,0.92676,0.77147,0.70556,0.75338,0.2633,2.26044,1.40928,2.10848,0.00058915,0.00058915,0.00058915
85,2369.96,0.98083,0.57285,0.94521,0.78602,0.69335,0.74442,0.28116,2.18869,1.41331,1.97117,0.0005842,0.0005842,0.0005842
86,2397.15,1.01296,0.59611,0.94916,0.80829,0.67439,0.74246,0.27877,2.19153,1.41124,1.97448,0.00057925,0.00057925,0.00057925
87,2424.97,1.00265,0.57481,0.94909,0.82773,0.66039,0.74916,0.28853,2.08893,1.40143,1.93081,0.0005743,0.0005743,0.0005743
88,2452.81,0.97939,0.57078,0.92786,0.8424,0.66142,0.74906,0.26176,2.2467,1.4463,2.1042,0.00056935,0.00056935,0.00056935
89,2480.57,0.94557,0.55217,0.92546,0.81552,0.72748,0.77757,0.27325,2.20735,1.3196,2.09052,0.0005644,0.0005644,0.0005644
90,2508.23,0.97206,0.56163,0.94699,0.75824,0.74458,0.74126,0.24226,2.3144,1.37579,2.21069,0.00055945,0.00055945,0.00055945
91,2535.53,0.94016,0.55466,0.92115,0.7827,0.66577,0.71603,0.23036,2.33721,1.49457,2.21187,0.0005545,0.0005545,0.0005545
